RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =        40009     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     2.970D+00  1.041D+04
    1    5     1     0  ---    3  6.0D-01  8.5D+01  8.323D-01  8.349D+02
    2    7     0     0  con    1  3.7D-01  1.7D+01  4.894D-01  4.706D+02
    3    8     0     0  con    0  1.0D+00  4.8D+00  2.456D-01  4.342D+02
    4    9     0     0  con    0  1.0D+00  2.4D+00  2.583D-01  4.209D+02
    5   10     0     0  con    0  1.0D+00  2.0D+00  2.221D-01  4.127D+02
    6   11     0     0  con    0  1.0D+00  6.3D+00  3.631D-01  3.945D+02
    7   12     0     0  con    0  1.0D+00  1.2D+01  4.611D-01  3.647D+02
    8   13     0     0  con    0  1.0D+00  3.0D+01  3.856D-01  3.112D+02
    9   14     0     0  con    0  1.0D+00  2.8D+01  2.295D-01  2.690D+02
   10   15     0     0  con    0  1.0D+00  3.2D+01  1.133D-01  2.443D+02
   11   16     0     0  con    0  1.0D+00  1.5D+01  8.563D-02  2.363D+02
   12   17     0     0  con    0  1.0D+00  2.5D+01  1.172D-01  2.258D+02
   13   18     0     0  con    0  1.0D+00  4.7D+01  1.418D-01  2.179D+02
   14   19     0     0  con    0  1.0D+00  1.3D+01  3.397D-01  2.170D+02
   15   20     0     0  con    0  1.0D+00  4.2D+00  8.331D-02  2.101D+02
   16   21     0     0  con    0  1.0D+00  2.3D+00  7.728D-02  2.081D+02
   17   22     0     0  con    0  1.0D+00  5.8D+00  6.349D-02  2.048D+02
   18   23     0     0  con    0  1.0D+00  1.6D+01  3.378D-01  2.032D+02
   19   24     0     0  con    0  1.0D+00  3.4D+00  7.353D-02  1.992D+02
   20   25     0     0  con    0  1.0D+00  4.7D+00  7.007D-02  1.983D+02
   21   26     0     0  con    0  1.0D+00  1.8D+01  1.563D-01  1.975D+02
   22   27     0     0  con    0  1.0D+00  3.8D+00  9.534D-02  1.956D+02
   23   28     0     0  con    0  1.0D+00  4.2D+00  7.855D-02  1.950D+02
   24   29     0     0  con    0  1.0D+00  2.6D+00  3.910D-02  1.941D+02
   25   30     0     0  con    0  1.0D+00  9.0D+00  4.750D-02  1.929D+02
   26   31     0     0  con    0  1.0D+00  9.1D+00  5.679D-02  1.919D+02
   27   32     0     0  con    0  1.0D+00  8.1D+00  3.926D-02  1.911D+02
   28   33     0     0  con    0  1.0D+00  4.6D+00  8.029D-02  1.903D+02
   29   34     0     0  con    0  1.0D+00  4.8D+00  2.498D-02  1.896D+02
   30   35     0     0  con    0  1.0D+00  2.2D+00  2.840D-02  1.891D+02
   31   36     0     0  con    0  1.0D+00  9.2D+00  5.902D-02  1.884D+02
   32   37     0     0  con    0  1.0D+00  5.6D+00  3.949D-02  1.878D+02
   33   38     0     0  con    0  1.0D+00  4.0D+00  3.936D-02  1.872D+02
   34   40     0     0  con    1  3.5D-01  8.2D+00  1.083D-01  1.866D+02
   35   41     0     0  con    0  1.0D+00  2.6D+00  5.238D-02  1.861D+02
   36   42     0     0  con    0  1.0D+00  4.0D+00  4.445D-02  1.856D+02
   37   43     0     0  con    0  1.0D+00  7.9D+00  5.335D-02  1.852D+02
   38   44     0     0  con    0  1.0D+00  1.0D+01  4.356D-02  1.842D+02
   39   45     0     0  con    0  1.0D+00  1.1D+01  5.724D-02  1.837D+02
   40   46     0     0  con    0  1.0D+00  3.7D+00  5.085D-02  1.825D+02
   41   47     0     0  con    0  1.0D+00  9.0D+00  9.563D-02  1.817D+02
   42   48     0     0  con    0  1.0D+00  5.4D+00  7.586D-02  1.809D+02
   43   49     0     0  con    0  1.0D+00  3.0D+00  6.290D-02  1.804D+02
   44   50     0     0  con    0  1.0D+00  3.2D+00  2.721D-02  1.799D+02
   45   51     0     0  con    0  1.0D+00  3.8D+00  3.538D-02  1.796D+02
   46   52     0     0  con    0  1.0D+00  7.3D+00  3.798D-02  1.791D+02
   47   54     0     0  con    1  4.3D-01  4.1D+00  3.800D-02  1.789D+02
   48   55     0     0  con    0  1.0D+00  3.5D+00  3.492D-02  1.785D+02
   49   56     0     0  con    0  1.0D+00  1.9D+00  3.294D-02  1.779D+02
   50   57     0     0  con    0  1.0D+00  3.1D+00  5.261D-02  1.776D+02
   51   58     0     0  con    0  1.0D+00  3.1D+00  3.546D-02  1.773D+02
   52   59     0     0  con    0  1.0D+00  2.4D+00  2.556D-02  1.770D+02
   53   60     0     0  con    0  1.0D+00  3.1D+00  3.562D-02  1.768D+02
   54   61     0     0  con    0  1.0D+00  4.0D+00  4.864D-02  1.765D+02
   55   62     0     0  con    0  1.0D+00  5.9D+00  3.274D-02  1.762D+02
   56   63     0     0  con    0  1.0D+00  1.9D+00  2.838D-02  1.759D+02
   57   64     0     0  con    0  1.0D+00  4.6D+00  5.381D-02  1.757D+02
   58   65     0     0  con    0  1.0D+00  2.4D+00  4.626D-02  1.754D+02
   59   66     0     0  con    0  1.0D+00  1.4D+00  2.730D-02  1.752D+02
   60   67     0     0  con    0  1.0D+00  3.4D+00  5.213D-02  1.749D+02
   61   68     0     0  con    0  1.0D+00  2.3D+00  8.787D-02  1.749D+02
   62   69     0     0  con    0  1.0D+00  2.5D+00  4.320D-02  1.747D+02
   63   70     0     0  con    0  1.0D+00  3.5D+00  4.319D-02  1.745D+02
   64   71     0     0  con    0  1.0D+00  1.1D+00  3.274D-02  1.743D+02
   65   72     0     0  con    0  1.0D+00  1.8D+00  2.705D-02  1.742D+02
   66   73     0     0  con    0  1.0D+00  2.4D+00  3.081D-02  1.739D+02
   67   74     0     0  con    0  1.0D+00  4.3D+00  5.053D-02  1.739D+02
   68   75     0     0  con    0  1.0D+00  1.7D+00  3.327D-02  1.736D+02
   69   76     0     0  con    0  1.0D+00  1.9D+00  7.442D-02  1.736D+02
   70   77     0     0  con    0  1.0D+00  1.9D+00  4.293D-02  1.734D+02
   71   79     0     0  con    1  3.2D-01  1.4D+00  3.969D-02  1.733D+02
   72   80     0     0  con    0  1.0D+00  5.4D-01  5.247D-02  1.732D+02
   73   81     0     0  con    0  1.0D+00  1.2D+00  3.783D-02  1.731D+02
   74   82     0     0  con    0  1.0D+00  1.1D+00  4.327D-02  1.730D+02
   75   83     0     0  con    0  1.0D+00  7.7D-01  2.973D-02  1.729D+02
   76   84     0     0  con    0  1.0D+00  1.3D+00  5.426D-02  1.729D+02
   77   85     0     0  con    0  1.0D+00  7.6D-01  2.733D-02  1.728D+02
   78   86     0     0  con    0  1.0D+00  2.0D+00  3.483D-02  1.727D+02
   79   87     0     0  con    0  1.0D+00  1.6D+00  3.591D-02  1.726D+02
   80   88     0     0  con    0  1.0D+00  5.6D+00  7.879D-02  1.725D+02
